num__ESCS,num__PV1READ,num__PV1MATH,num__PV1SCIE,cat__ST004D01T_1.0,cat__ST004D01T_2.0
-0.7939297456251907,-0.8058271547450072,-0.5334659705488654,-0.3748719304649157,0.0,1.0
-0.13941545227354554,0.3162521747439482,-0.8589786478153036,-0.0782405255648639,0.0,1.0
-1.82907664008204,-0.27516579763801385,0.44070192081373327,-1.045115242994952,1.0,0.0
-0.8670771707152893,-0.39512631853720925,-0.5547369766716074,-0.4416035790486922,1.0,0.0
-0.05270250471219238,0.4910416134867456,0.857133586951364,1.0501751823857497,0.0,1.0
-2.158993693124775,-0.8061011623304327,-0.7468187817252263,-1.0796121121780904,0.0,1.0
1.4113099596365433,0.6590904656280806,0.6882912097391164,0.7311312300353923,1.0,0.0
0.5693609309631182,-2.1826239356453194,-1.09815192959675,-1.5627964740095655,1.0,0.0
-0.7109406669775155,1.124857692920183,0.21567918087692511,1.0450656374822929,1.0,0.0
0.0494378997772543,-1.1037921367226566,-1.0442714065332412,-1.479674595949072,0.0,1.0
0.2618757549480132,-0.11215868506850443,-1.0441107190460064,-0.6319068427247874,1.0,0.0
-1.7238330114978615,-0.44187201261076503,-0.9138132528342704,-0.13466379132399772,0.0,1.0
-1.1284573030372416,-0.23941694132619346,1.0124882582038173,0.32989801558750226,0.0,1.0
-3.066642409060943,0.35103287092059926,0.07615222711712558,0.048873045897423584,1.0,0.0
-0.9685969303857898,0.32833590926120415,0.18281858973735385,0.04607519800854107,1.0,0.0
1.1838879652655097,-0.9023600270903397,-0.35588621121821085,-0.6517993427858155,0.0,1.0
-1.7203751332208752,-1.0126663473963837,0.009818423792898972,-0.5642822639637082,0.0,1.0
-0.6176666170444444,1.1146280763976386,0.35838975547757007,0.8609831207080751,1.0,0.0
0.9279163092229468,0.028288469634322383,-0.08912489647209378,-0.350762815677735,1.0,0.0
0.23190747654746377,0.6987210960667595,0.44296158860297663,1.3857284215697967,1.0,0.0
0.5844337337089568,-0.46996692370303905,-0.18180140473491924,-0.7042044227470862,0.0,1.0
-1.0196671326305131,-1.5436199792611638,-2.7064227744927827,-2.174681838729644,0.0,1.0
0.9764152686463212,1.3145257435515736,0.7330326319661304,2.088385099535931,0.0,1.0
0.7070554172236311,0.3393784149538437,1.108529160730628,0.7410030692177976,0.0,1.0
0.5901082006250371,0.8797670413434345,1.2662037575800376,0.9784431248090764,1.0,0.0
-2.841791657511259,-1.7504409047401783,-2.550626212650432,-2.70143127176709,0.0,1.0
0.5103996731632207,0.6914324942944465,1.0978333998615433,0.6788948146631677,1.0,0.0
-1.0837708760731086,0.4068664832440941,-0.09710905599408637,0.1501610923428257,1.0,0.0
1.3959711662540137,-0.339329240558438,0.2141526497481921,0.09351955476257291,1.0,0.0
-0.483075354878663,-0.5786474656688929,-0.256962976889122,-0.6186517903150457,0.0,1.0
-1.5009328579505796,-0.6031985453229995,-1.1704010410448173,-1.0753062044342074,1.0,0.0
-0.020783628309240285,-0.819865476704963,-0.8528223084606101,-0.909231112902266,1.0,0.0
0.45259104145565193,1.2801012572359753,1.282553709406206,0.48481147990315626,1.0,0.0
-0.41232184551878587,0.3998610226433873,0.6829985656283114,0.6613437759559567,1.0,0.0
-1.6076837668093416,-0.25716349927557225,0.11970857912578103,0.13116152245910143,1.0,0.0
0.23199614009302752,-1.6913557357363034,-1.4748937863873184,-1.915771773097436,0.0,1.0
-0.6746772768419392,-0.2995616063270466,0.6185829691829537,-0.12433556560652655,0.0,1.0
-0.753233178211427,-0.8473575711093017,-0.2237910537430327,-0.6166575795857355,0.0,1.0
-1.1295212655840066,0.528617187034735,0.16961208688022172,-0.32448090412578373,0.0,1.0
0.9101836001101956,0.296925506385284,0.08708901921706237,-0.4796920118338718,1.0,0.0
0.8611526594134387,-0.35303875341588353,-0.3706594170758849,0.19966910995106918,0.0,1.0
-2.873355879731956,-0.8232266364195139,-1.1411458754000827,-1.4933761134474655,1.0,0.0
-1.0296861132792174,-0.5676140935624341,-0.28827695096405576,-0.5719614634885138,0.0,1.0
0.5731734634223599,-0.7238349515995774,-0.19856311824712705,-0.7680886162099073,1.0,0.0
0.1390767443422114,0.2898104427504071,-0.7280384316546277,-0.23734084026742713,1.0,0.0
0.11478293285774234,1.1486506849212788,1.3342850373279453,2.0532135719966087,0.0,1.0
,-1.7338360450634054,-0.8722855803519576,-0.7994403868796569,1.0,0.0
0.7591895820151195,-0.1330471966640933,0.10777753319857737,0.636073851938282,1.0,0.0
1.0815702336849355,0.43887970280795013,1.1056267429924436,1.4203939553419818,0.0,1.0
-2.545034770509368,-1.7014940163970393,-1.563121259847323,-1.9872657159601619,1.0,0.0
-0.4183509666171213,0.6149295764437037,0.27071464525493605,0.8007500195257812,1.0,0.0
-2.104642939694193,-0.5096249549002604,-0.8104208977664569,-0.7590700214191473,0.0,1.0
-1.8630347780329584,-0.06354060582787598,-0.6129661048584151,-0.7540795338726651,1.0,0.0
0.45782219064391344,-0.26356614318834304,-0.43270487308452543,-0.2943792357042587,1.0,0.0
0.5276004010025894,0.4426244731420956,0.49163985426724977,0.1612433479877974,0.0,1.0
-0.25778128560115954,0.3814933808337118,-0.8446975473872868,-0.08057206547226571,0.0,1.0
0.3974423161149958,0.274776559896739,0.23070346093340433,-0.09503753434457436,1.0,0.0
0.5829264534343729,-0.7868840970059381,-0.5671199561566598,-0.45873791700649535,1.0,0.0
